EvID,Reaction,Particle,px,py,pz,p,E,TPC_dEdx,NsigmaElectron,NsigmaMuon,NsigmaPion,NsigmaKaon,NsigmaProton
5664,γγ → μ μ,muon,-0.018069512438161066,0.13235663360172215,1.2952387866533932,1.302109173683024,1.3063358297886067,28.89750053589658,-6.906940216861826,0.6692354874302261,0.8536410409307997,1.4236857725218708,-1.5051552188904773
5664,γγ → μ μ,muon,0.018069512438161066,-0.13235663360172215,-1.2952387866533932,1.302109173683024,1.3063358297886067,23.27040997535847,-7.5092389342632275,-1.4083405376968943,-1.2598435136597912,-0.8008012310257148,-3.1593211500110225
5665,γγ → μ μ,muon,-0.10933813069283718,-0.015771834133114504,-0.2719040722618843,0.2934883338191186,0.3117056337121971,26.882628365957412,-6.861319718484006,-0.0635827802480687,-0.672021632709798,-6.5550408859244,-8.829507893098633
5665,γγ → μ μ,muon,0.10933813069283718,0.015771834133114504,0.2719040722618843,0.2934883338191186,0.3117056337121971,27.159555629267235,-6.828987086089125,0.03877569416565508,-0.5759308975963341,-6.5195531692216955,-8.817450248605045
5666,γγ → μ μ,muon,-0.08681270726272522,0.2330884513009727,-0.4304307817169456,0.4971290879858373,0.5080967723983595,24.401856402122018,-7.2396225602127355,-0.6331479814884821,-0.7274382215901664,-4.133418142951947,-7.488573926254542
5666,γγ → μ μ,muon,0.08681270726272522,-0.2330884513009727,0.4304307817169456,0.4971290879858373,0.5080967723983595,23.817577899023856,-7.305717088920994,-0.8574280602632254,-0.9494606131039279,-4.2738876879428265,-7.548707558828582
5667,γγ → μ μ,muon,-0.8091788038926516,-0.5160136723408709,-0.8955011951944852,1.3126167899682701,1.3168097194760546,24.743890594254488,-7.352712989033258,-0.8691264281015718,-0.7106693911236874,-0.2041854355114601,-2.689331154856328
5667,γγ → μ μ,muon,0.8091788038926516,0.5160136723408709,0.8955011951944852,1.3126167899682701,1.3168097194760546,25.545734311381228,-7.266925733828217,-0.5732338489771958,-0.4096418968148441,0.11325503864330379,-2.452423629778852
5668,γγ → μ μ,muon,-0.33013191879094256,-0.5498094148376018,0.3780803532281738,0.7444610331950198,0.7518292558458977,23.797361475546612,-7.370700865944425,-0.9370478641379941,-0.8678413355167668,-2.2633472921600175,-5.781103742100809
5668,γγ → μ μ,muon,0.33013191879094256,0.5498094148376018,-0.3780803532281738,0.7444610331950198,0.7518292558458977,28.15068995361011,-6.889714652015054,0.7208673492320311,0.8027340524791002,-0.8480563325914313,-5.009327373347465
5669,γγ → μ μ,muon,-0.7945727878545669,-0.0003156158340440321,0.8540118676652892,1.1664828695379494,1.1711990799712442,29.37506630202276,-6.836380624873904,0.9223017692695449,1.0990397582898634,1.3494189025133052,-1.990603977179288
5669,γγ → μ μ,muon,0.7945727878545669,0.0003156158340440321,-0.8540118676652892,1.1664828695379494,1.1711990799712442,28.551120381100272,-6.925117489420384,0.6159403845037714,0.7877210214749713,1.0310772411389961,-2.2152608039658026
5670,γγ → μ μ,muon,0.07351780515086363,0.0795471946404456,0.1613138998269233,0.1943059395045245,0.22086149081887482,28.01698057010042,-6.644550017971557,-0.7239433119199784,-1.948818762038685,-8.103088135656341,-9.415392894891308
5670,γγ → μ μ,muon,-0.07351780515086363,-0.0795471946404456,-0.1613138998269233,0.1943059395045245,0.22086149081887482,29.399470268011104,-6.478976321676836,-0.2662190123146203,-1.5515355826595367,-8.009485575461174,-9.386545628565948
5671,γγ → μ μ,muon,0.028844100154877938,0.7187033281366013,0.18900700743929197,0.7437002789091371,0.7510759647662334,28.6918910651887,-6.829732016877692,0.9274289699258268,1.0105472477224131,-0.677427501952874,-4.919500579598724
5671,γγ → μ μ,muon,-0.028844100154877938,-0.7187033281366013,-0.18900700743929197,0.7437002789091371,0.7510759647662334,20.628289595288017,-7.7207077113902125,-2.143628009341624,-2.0838693862116964,-3.297453805820833,-6.347329874680701
5672,γγ → μ μ,muon,0.019763388731896463,-0.07674573565878197,-0.06277539509621742,0.10110019636707877,0.14576093339939164,48.96780310696333,-3.885749212123023,0.38299316899058095,-2.4200408133872435,-8.94607131355811,-9.694648861071755
5672,γγ → μ μ,muon,-0.019763388731896463,0.07674573565878197,0.06277539509621742,0.10110019636707877,0.14576093339939164,45.14634797613554,-4.362906314586085,-0.42729726679469665,-3.011582032050318,-9.028320075617792,-9.71847851244518
5673,γγ → μ μ,muon,-0.1556470411126291,-0.17496277440643387,-0.02889175043808884,0.23595064542927177,0.2582589922509765,32.389582046367956,-6.167388058162489,1.4342260834526641,0.34368797019732256,-7.002552318214796,-9.040361600941049
5673,γγ → μ μ,muon,0.1556470411126291,0.17496277440643387,0.02889175043808884,0.23595064542927177,0.2582589922509765,29.68016155614889,-6.487989827935473,0.4777417918074761,-0.5215717324677123,-7.2532917737521405,-9.120636299697246
5674,γγ → μ μ,muon,0.2675865900518699,-0.9336025186917735,-0.5095896724244526,1.0967670127811429,1.1017816845114423,24.938306779318353,-7.304870520761869,-0.6920375741654252,-0.548386851792482,-0.514384439959413,-3.5141483009334324
5674,γγ → μ μ,muon,-0.2675865900518699,0.9336025186917735,0.5095896724244526,1.0967670127811429,1.1017816845114423,31.645866242892943,-6.5799720180690295,1.8114889085459214,1.9937768074853597,2.0369247158949806,-1.769673973610862
5675,γγ → μ μ,muon,0.47561033601401864,0.39584492954308714,0.22802733251977242,0.6594655899623741,0.6677723147483895,25.845945203526764,-7.124251405023236,-0.11460007199480482,-0.07851514159206541,-2.198151557568339,-6.053471574183979
5675,γγ → μ μ,muon,-0.47561033601401864,-0.39584492954308714,-0.22802733251977242,0.6594655899623741,0.6677723147483895,22.082506666983654,-7.542990321264088,-1.5540171544514658,-1.5231865653621022,-3.3341818653517676,-6.628127174755791
5676,γγ → μ μ,muon,-0.021613652664126824,-0.1848134323436626,0.6267837171994207,0.6538202986314011,0.6621978427195717,28.300502137092693,-6.849572018824646,0.8269384032010172,0.8629979836345892,-1.506424738732263,-5.726284099196328
5676,γγ → μ μ,muon,0.021613652664126824,0.1848134323436626,-0.6267837171994207,0.6538202986314011,0.6621978427195717,28.47311705727359,-6.830356427812447,0.8929757865385565,0.9292553072957365,-1.4546193746905918,-5.700217171990603
5677,γγ → μ μ,muon,-0.007266950329948415,-0.40249338558845776,0.007304805624026501,0.40262525280310185,0.4160914493170482,24.416814398293088,-7.203108380424027,-0.6834726648835062,-0.923541645494128,-5.295133910242178,-8.191097218031091
5677,γγ → μ μ,muon,0.007266950329948415,0.40249338558845776,-0.007304805624026501,0.40262525280310185,0.4160914493170482,25.17256640652526,-7.116538673834864,-0.3951064542710184,-0.6426060771943987,-5.14950836147909,-8.135107853985906
5678,γγ → μ μ,muon,0.10238942303680987,0.014011885069787735,-0.09781939559336611,0.14229743858295976,0.17684332338901348,34.43700148782003,-5.793761803359951,-0.31332233593268205,-2.2369078545867915,-8.631787620249044,-9.594546236042415
5678,γγ → μ μ,muon,-0.10238942303680987,-0.014011885069787735,0.09781939559336611,0.14229743858295976,0.17684332338901348,37.63928830488177,-5.402624928934748,0.5874390208811634,-1.5150201592923909,-8.50455794642954,-9.55684320769633
5679,γγ → μ μ,muon,0.30827130879081,-0.07563580634198563,-0.003988837430955388,0.3174395782643555,0.33435443147751437,27.38793675167202,-6.817537789359982,0.23666916288072415,-0.2847046241576391,-6.086403863626341,-8.634768456558747
5679,γγ → μ μ,muon,-0.30827130879081,0.07563580634198563,0.003988837430955388,0.3174395782643555,0.33435443147751437,25.098290748431165,-7.083593313992084,-0.6191217952993529,-1.096908457885413,-6.413582571288565,-8.748902535926657
5680,γγ → μ μ,muon,-0.019388042988106848,0.05241285690804418,0.06659217277886001,0.08693400517393259,0.13631772172238404,53.284883786551084,-3.2806506117959957,-0.3874572996749469,-3.2443194374737123,-9.13005023605996,-9.749375717257772
